"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2019","138.03","137.58","138.19","137.38","3.84M","1.14%"
"02/14/2019","136.48","137.17","137.60","136.21","2.79M","-0.76%"
"02/13/2019","137.52","136.92","137.92","136.41","4.25M","1.08%"
"02/12/2019","136.05","135.15","136.20","134.86","3.32M","1.54%"
"02/11/2019","133.99","134.29","135.15","133.91","3.10M","0.21%"
"02/08/2019","133.71","132.34","133.71","132.19","3.25M","0.39%"
"02/07/2019","133.19","133.55","134.47","132.12","4.38M","-2.30%"
"02/06/2019","136.32","135.22","136.65","135.17","4.88M","0.57%"
"02/05/2019","135.55","135.28","135.82","134.92","5.40M","0.27%"
"02/04/2019","135.19","134.02","135.20","132.99","3.97M","0.81%"
"02/01/2019","134.10","134.97","135.20","133.35","3.81M","-0.24%"
"01/31/2019","134.42","134.45","134.72","133.74","4.88M","0.03%"
"01/30/2019","134.38","134.00","135.03","133.25","4.50M","0.04%"
"01/29/2019","134.33","134.29","135.41","133.60","5.04M","0.04%"
"01/28/2019","134.27","133.10","134.81","132.58","5.36M","0.22%"
"01/25/2019","133.97","132.87","134.44","132.43","5.71M","1.09%"
"01/24/2019","132.53","132.63","133.21","131.43","6.32M","-0.27%"
"01/23/2019","132.89","131.37","135.00","130.31","22.06M","8.46%"
"01/22/2019","122.52","123.30","123.80","121.54","10.05M","-1.05%"
"01/18/2019","123.82","123.27","124.72","122.71","6.01M","1.33%"
"01/17/2019","122.19","120.56","122.41","120.55","5.03M","0.47%"
"01/16/2019","121.62","121.58","122.00","120.83","3.84M","-0.09%"
"01/15/2019","121.73","120.96","121.93","120.82","3.51M","1.11%"
"01/14/2019","120.39","120.51","120.65","119.76","5.23M","-0.88%"
"01/11/2019","121.46","121.58","121.61","120.20","3.72M","-0.27%"
"01/10/2019","121.79","120.08","121.86","119.95","3.91M","0.91%"
"01/09/2019","120.69","120.91","121.40","119.87","3.63M","0.72%"
"01/08/2019","119.83","119.66","120.57","118.98","4.76M","1.42%"
"01/07/2019","118.15","117.50","118.83","116.67","3.75M","0.71%"
"01/04/2019","117.32","114.91","117.49","114.44","4.48M","3.91%"
"01/03/2019","112.91","114.53","114.88","112.69","4.35M","-2.00%"
"01/02/2019","115.21","112.01","115.98","111.69","4.24M","1.35%"
"12/31/2018","113.67","113.33","114.35","112.42","4.98M","0.57%"
"12/28/2018","113.03","114.22","114.80","112.50","5.12M","-0.66%"
"12/27/2018","113.78","109.99","113.78","109.47","6.05M","2.15%"
"12/26/2018","111.39","108.00","111.39","105.94","6.65M","3.55%"
"12/24/2018","107.57","109.90","111.00","107.50","3.82M","-3.04%"
"12/21/2018","110.94","112.50","115.28","110.44","10.39M","-1.84%"
"12/20/2018","113.02","115.70","116.45","111.70","8.45M","-2.93%"
"12/19/2018","116.43","117.15","120.27","115.97","6.98M","-0.19%"
"12/18/2018","116.65","116.90","118.23","116.02","6.29M","0.47%"
"12/17/2018","116.10","119.07","119.78","115.07","7.37M","-3.17%"
"12/14/2018","119.90","119.50","121.11","119.44","4.55M","-0.69%"
"12/13/2018","120.73","121.26","121.79","120.17","3.99M","-0.35%"
"12/12/2018","121.16","122.51","122.88","121.00","3.56M","0.22%"
"12/11/2018","120.89","123.25","123.81","120.00","5.04M","-0.20%"
"12/10/2018","121.13","119.74","121.68","118.52","6.55M","1.50%"
"12/07/2018","119.34","123.90","124.05","118.87","7.02M","-3.69%"
"12/06/2018","123.91","119.72","123.91","119.30","6.94M","1.90%"
"12/04/2018","121.60","124.49","124.92","121.33","6.00M","-2.96%"
"12/03/2018","125.31","125.67","126.59","124.36","5.84M","0.84%"
"11/30/2018","124.27","121.66","124.69","121.48","7.25M","2.30%"
"11/29/2018","121.48","122.44","123.12","121.40","5.20M","-1.24%"
"11/28/2018","123.00","121.01","123.09","120.22","5.10M","2.47%"
"11/27/2018","120.03","118.38","120.04","118.37","4.90M","0.39%"
"11/26/2018","119.56","118.37","120.25","118.06","5.01M","2.02%"
"11/23/2018","117.19","118.09","118.34","116.91","2.33M","-1.16%"
"11/21/2018","118.57","117.61","119.51","117.39","5.34M","1.17%"
"11/20/2018","117.20","118.49","119.49","116.70","6.23M","-2.58%"
"11/19/2018","120.31","121.63","122.18","119.77","4.13M","-1.04%"
"11/16/2018","121.57","120.89","121.85","120.54","4.08M","0.11%"
"11/15/2018","121.44","119.66","121.44","119.51","5.21M","1.03%"
"11/14/2018","120.20","121.11","121.93","119.77","4.76M","-0.53%"
"11/13/2018","120.84","121.19","122.25","119.90","4.08M","-0.05%"
"11/12/2018","120.90","123.50","123.57","120.65","5.38M","-2.14%"
"11/09/2018","123.54","123.61","124.57","121.96","6.96M","0.13%"
"11/08/2018","123.38","122.66","124.40","122.63","10.40M","-1.17%"
